rep;type;delay;time1;time2
0;hard;-1033;988117140;988116107
1;hard;-1025;12057164;12056139
2;hard;-1017;36027620;36026603
3;hard;-1025;60080156;60079131
4;hard;-1025;84003572;84002547
5;hard;-1025;108066700;108065675
6;hard;-1033;132014876;132013843
7;hard;-1033;155988004;155986971
8;hard;-1025;179944252;179943227
9;hard;-1033;204001628;204000595
10;hard;-1025;227931908;227930883
11;hard;-1025;251944212;251943187
12;hard;-1033;275882116;275881083
13;hard;-1025;299861356;299860331
14;hard;-1033;323874828;323873795
15;hard;-1033;347820620;347819587
16;hard;-1033;371822716;371821683
17;hard;-1025;395761284;395760259
18;hard;-1025;419777188;419776163
19;hard;-1033;443730028;443728995
20;hard;-1033;467715748;467714715
21;hard;-1033;491766764;491765731
22;hard;-1025;515674836;515673811
23;hard;-1025;539660700;539659675
24;hard;-1025;563639756;563638731
25;hard;-1025;587642484;587641459
26;hard;-1025;611616044;611615019
27;hard;-1025;635585212;635584187
28;hard;-1033;659578588;659577555
29;hard;-1041;683557556;683556515
30;hard;-1033;707530076;707529043
31;hard;-1025;731513708;731512683
32;hard;-1033;755492436;755491403
33;hard;-1033;779480108;779479075
34;hard;-1025;803492460;803491435
35;hard;-1025;827452380;827451355
36;hard;-1033;851453428;851452395
37;hard;-1025;875471220;875470195
38;hard;-1025;899405980;899404955
39;hard;-1025;923390572;923389547
40;hard;-1025;947378284;947377259
41;hard;-1025;971366748;971365723
42;hard;-1041;995327212;995326171
43;hard;-1033;19303516;19302483
44;hard;-1033;43288372;43287339
45;hard;-1033;67283268;67282235
46;hard;-1025;91258036;91257011
47;hard;-1025;115250084;115249059
48;hard;-1033;139222340;139221307
49;hard;-1025;163216692;163215667
50;hard;-1041;187187908;187186867
51;hard;-1033;211169644;211168611
52;hard;-1025;235152588;235151563
53;hard;-1033;259140420;259139387
54;hard;-1025;283150284;283149259
55;hard;-1041;307099716;307098675
56;hard;-1033;331078316;331077283
57;hard;-1033;355071844;355070811
58;hard;-1025;379077652;379076627
59;hard;-1033;403048332;403047299
60;hard;-1033;427009092;427008059
61;hard;-1033;451006452;451005419
62;hard;-1041;474974316;474973275
63;hard;-1025;498960596;498959571
64;hard;-1033;522957132;522956099
65;hard;-1033;546940652;546939619
66;hard;-1025;570942052;570941027
67;hard;-1025;594896820;594895795
68;hard;-1033;618914444;618913411
69;hard;-1025;642873244;642872219
70;hard;-1025;666845548;666844523
71;hard;-1033;690835420;690834387
72;hard;-1025;714818996;714817971
73;hard;-1033;738798948;738797915
74;hard;-1033;762847548;762846515
75;hard;-1041;786845372;786844331
76;hard;-1033;810826284;810825251
77;hard;-1025;834759828;834758803
78;hard;-1025;858770020;858768995
79;hard;-1025;882697268;882696243
80;hard;-1033;906675324;906674291
81;hard;-1025;930708004;930706979
82;hard;-1025;954654292;954653267
83;hard;-1041;978660140;978659099
84;hard;-1025;2627476;2626451
85;hard;-1025;26656844;26655819
86;hard;-1033;50570580;50569547
87;hard;-1025;74552372;74551347
88;hard;-1025;98543452;98542427
89;hard;-1033;122519796;122518763
90;hard;-1041;146490948;146489907
91;hard;-1033;170476260;170475227
92;hard;-1041;194459916;194458875
93;hard;-1033;218448412;218447379
94;hard;-1025;242443724;242442699
95;hard;-1025;266423404;266422379
96;hard;-1033;290391820;290390787
97;hard;-1033;314368948;314367915
98;hard;-1025;338393148;338392123
99;hard;-1033;362352084;362351051
100;hard;-1033;386331356;386330323
101;hard;-1033;410307188;410306155
102;hard;-1025;434346532;434345507
103;hard;-1025;458297436;458296411
104;hard;-1025;482261508;482260483
105;hard;-1033;506267908;506266875
106;hard;-1041;530229084;530228043
107;hard;-1033;554225084;554224051
108;hard;-1025;578189564;578188539
109;hard;-1025;602174220;602173195
110;hard;-1025;626148644;626147619
111;hard;-1033;650129764;650128731
112;hard;-1033;674150764;674149731
113;hard;-1033;698117692;698116659
114;hard;-1033;722085508;722084475
115;hard;-1025;746063588;746062563
116;hard;-1025;770074420;770073395
117;hard;-1033;794045484;794044451
118;hard;-1025;818032500;818031475
119;hard;-1025;841992716;841991691
120;hard;-1025;865955148;865954123
121;hard;-1033;889961388;889960355
122;hard;-1025;913932844;913931819
123;hard;-1033;937937228;937936195
124;hard;-1033;961912140;961911107
125;hard;-1033;985900972;985899939
126;hard;-1033;9909564;9908531
127;hard;-1025;33913412;33912387
128;hard;-1033;57883260;57882227
129;hard;-1033;81826132;81825099
130;hard;-1041;105863828;105862787
131;hard;-1033;129793012;129791979
132;hard;-1041;153789868;153788827
133;hard;-1033;177793796;177792763
134;hard;-1033;201779452;201778419
135;hard;-1025;225726828;225725803
136;hard;-1033;249710172;249709139
137;hard;-1041;273704132;273703091
138;hard;-1033;297675196;297674163
139;hard;-1033;321652892;321651859
140;hard;-1033;345630300;345629267
141;hard;-1017;369611276;369610259
142;hard;-1033;393606692;393605659
143;hard;-1025;417590364;417589339
144;hard;-1025;441564292;441563267
145;hard;-1033;465544604;465543571
146;hard;-1033;489589524;489588491
147;hard;-1025;513532596;513531571
148;hard;-1025;537515708;537514683
149;hard;-1033;561488380;561487347
150;hard;-1033;585464732;585463699
151;hard;-1025;609467052;609466027
152;hard;-1041;633449676;633448635
153;hard;-1033;657413076;657412043
154;hard;-1025;681393548;681392523
155;hard;-1033;705380044;705379011
