rep;type;delay;time1;time2
0;soft;-16;424484982;424484966
1;soft;-135;448488747;448488612
2;soft;-79;472501584;472501505
3;soft;-353;496490988;496490635
4;soft;24744;520491493;520516237
5;soft;-135;544447266;544447131
6;soft;4;568496378;568496382
7;soft;-14;592480550;592480536
8;soft;-22;616480375;616480353
9;soft;-37630;640477269;640439639
10;soft;-18;664449735;664449717
11;soft;-19;688452109;688452090
12;soft;-141;712407147;712407006
13;soft;-459;736448604;736448145
14;soft;12;760454802;760454814
15;soft;-90;784423959;784423869
16;soft;-23;808476917;808476894
17;soft;194;832432698;832432892
18;soft;164;856458675;856458839
19;soft;-65;880298265;880298200
20;soft;23852;904494930;904518782
21;soft;-24;928443846;928443822
22;soft;-24;952519366;952519342
23;soft;-175;976446768;976446593
24;soft;-38598;511406;472808
25;soft;35;24489908;24489943
26;soft;-142;48446086;48445944
27;soft;-62;72425896;72425834
28;soft;10;96405351;96405361
29;soft;-75;120400627;120400552
30;soft;-58;144398683;144398625
31;soft;-25;168384566;168384541
32;soft;-10;192389503;192389493
33;soft;198;216395652;216395850
34;soft;-135;240357093;240356958
35;soft;14;264371269;264371283
36;soft;23410;288367747;288391157
37;soft;-201;312356392;312356191
38;soft;-67;336367192;336367125
39;soft;-145;360224331;360224186
40;soft;-36601;384389436;384352835
41;soft;-155;408379291;408379136
42;soft;25;432364969;432364994
43;soft;-20;456363662;456363642
44;soft;17;480345757;480345774
45;soft;-125;504337691;504337566
46;soft;-166;528349165;528348999
47;soft;-5;552345008;552345003
48;soft;-81;576349628;576349547
49;soft;160;600344688;600344848
50;soft;150;624331123;624331273
51;soft;-19;648355310;648355291
52;soft;24923;672356007;672380930
53;soft;181;696347182;696347363
54;soft;-39148;720361079;720321931
55;soft;-145;744330984;744330839
56;soft;-149;768301883;768301734
57;soft;169;792357340;792357509
58;soft;-189;816311959;816311770
59;soft;-19731;840251685;840231954
60;soft;-22;864319200;864319178
61;soft;125;888182337;888182462
62;soft;98;912339434;912339532
63;soft;-31;936339930;936339899
64;soft;-25;960301587;960301562
65;soft;-46;984390880;984390834
66;soft;171;8294411;8294582
67;soft;120;32311134;32311254
68;soft;24196;56306576;56330772
69;soft;-38484;80366670;80328186
70;soft;-23;104282991;104282968
71;soft;-178;128308442;128308264
72;soft;46;152304729;152304775
73;soft;-78;176277472;176277394
74;soft;19;200285267;200285286
75;soft;-25;224311825;224311800
76;soft;60;248273202;248273262
77;soft;-14495;272178721;272164226
78;soft;-23;296238979;296238956
79;soft;26;320322879;320322905
80;soft;-27;344245147;344245120
81;soft;-43;368143667;368143624
82;soft;-1175;392098038;392096863
83;soft;-26;416229075;416229049
84;soft;-9659;440270218;440260559
85;soft;34;464249502;464249536
86;soft;-37;488341757;488341720
87;soft;-79;512262514;512262435
88;soft;-27;536255399;536255372
89;soft;-79;560309986;560309907
90;soft;21;584240943;584240964
91;soft;27;608281208;608281235
92;soft;26;632262543;632262569
93;soft;-443;656242274;656241831
94;soft;-33;680232001;680231968
95;soft;27;704211311;704211338
96;soft;-14884;728166846;728151962
97;soft;-28;752233045;752233017
98;soft;-24;776209846;776209822
99;soft;-12711;800217228;800204517
100;soft;23512;824218427;824241939
101;soft;-33;848207999;848207966
102;soft;-46;872208726;872208680
103;soft;-34;896196461;896196427
104;soft;191;920196180;920196371
105;soft;-22;944238144;944238122
106;soft;-35;968198314;968198279
107;soft;25;992182467;992182492
108;soft;35;16199956;16199991
109;soft;-27;40173907;40173880
110;soft;-73;64182495;64182422
111;soft;27;88176794;88176821
112;soft;-177;112176762;112176585
113;soft;-23;136174029;136174006
114;soft;-39167;160209249;160170082
115;soft;141;184167044;184167185
116;soft;24632;208171438;208196070
117;soft;21;232158603;232158624
118;soft;192;256157485;256157677
119;soft;3;280063844;280063847
120;soft;-48;304207456;304207408
121;soft;7738;328149261;328156999
122;soft;-24;352125736;352125712
123;soft;26;376130870;376130896
124;soft;23;400148209;400148232
125;soft;-1327;424018513;424017186
126;soft;35;448172777;448172812
127;soft;20;472147433;472147453
128;soft;28;496135145;496135173
129;soft;-13002;520126968;520113966
130;soft;-27;544171021;544170994
131;soft;-26;568142728;568142702
132;soft;9791;592134431;592144222
133;soft;-426;616129071;616128645
134;soft;184;640125015;640125199
135;soft;59;664134473;664134532
136;soft;27;688120214;688120241
137;soft;76;712126461;712126537
138;soft;-175;736117637;736117462
139;soft;-12;760121454;760121442
140;soft;25;784171551;784171576
141;soft;26;808121064;808121090
142;soft;-28;832170978;832170950
143;soft;-167;856192601;856192434
144;soft;-36576;880226756;880190180
145;soft;107;904147049;904147156
146;soft;22;928144642;928144664
147;soft;-23;952172063;952172040
148;soft;9767;976090443;976100210
149;soft;-163;156737;156574
150;soft;-125;24086102;24085977
151;soft;-20;48084320;48084300
152;soft;142;72095978;72096120
153;soft;66;96114582;96114648
