rep;type;delay;time1;time2
150;hard_wrong;278554403;581135116;859689519
151;hard_wrong;278592811;605114588;883707399
152;hard_wrong;278631203;629052460;907683663
153;hard_wrong;278669595;653052492;931722087
154;hard_wrong;278707979;677045348;955753327
155;hard_wrong;278746395;701046996;979793391
156;hard_wrong;-721215237;725063180;3847943
157;hard_wrong;-721176845;749053972;27877127
158;hard_wrong;-721138477;773021396;51882919
159;hard_wrong;-721100085;797001180;75901095
160;hard_wrong;-721061701;821038756;99977055
161;hard_wrong;-721023317;844999572;123976255
162;hard_wrong;-720984949;869018028;148033079
163;hard_wrong;-720946557;892951068;172004511
164;hard_wrong;-720908165;917066268;196158103
165;hard_wrong;-720869773;940931644;220061871
166;hard_wrong;-720831349;965012692;244181343
167;hard_wrong;-720792941;988962204;268169263
168;hard_wrong;279245467;12907420;292152887
169;hard_wrong;279283875;36905692;316189567
170;hard_wrong;279322307;60998932;340321239
171;hard_wrong;279360723;84970628;364331351
172;hard_wrong;279399139;108925996;388325135
